Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA97;<437, 5, 200>;False;-10;85;0;8250
EA98;<437, 5, 200>;False;-10;26;55;8250
EA99;<437, 5, 200>;False;-10;86;0;8250
EA0;<437, 5, 200>;False;-10;86;0;8250
EA1;<437, 5, 200>;False;-10;60;20;8250
EA2;<437, 5, 200>;False;-10;86;0;8250
EA3;<437, 5, 200>;False;-3;4;20;8250
EA4;<437, 5, 200>;False;-3;10;20;8250
EA5;<437, 5, 200>;False;-3;12;15;8250
EA6;<437, 5, 200>;False;-6;33;15;8250
EA7;<437, 5, 200>;False;-3;16;15;8250
EA8;<437, 5, 200>;False;-3;16;15;8250
EA9;<437, 5, 200>;False;-4;14;20;8250
EA10;<437, 5, 200>;False;-3;14;15;8250
EA11;<437, 5, 200>;False;-4;14;20;8250
EA12;<437, 5, 200>;False;-10;85;0;8250
EA13;<437, 5, 200>;False;-9;20;55;8800
EA14;<437, 5, 200>;False;-10;86;0;8250
EA15;<437, 5, 200>;False;-3;11;15;8250
EA16;<437, 5, 200>;False;-10;85;0;8250
EA17;<437, 5, 200>;False;-10;85;0;8250
EA18;<437, 5, 200>;False;-4;13;20;8250
EA19;<437, 5, 200>;False;-14;29;90;8250
EA20;<437, 5, 200>;False;-8;33;35;8800
EA21;<437, 5, 200>;False;-10;86;0;8250
EA22;<437, 5, 200>;False;-2;3;15;8250
EA23;<437, 5, 200>;False;-15;45;75;8250
EA24;<437, 5, 200>;False;-15;15;105;8250
EA25;<437, 5, 200>;False;-10;84;0;8250
EA26;<437, 5, 200>;False;-8;16;55;8250
EA27;<437, 5, 200>;False;-2;2;15;8250
EA28;<437, 5, 200>;False;-5;13;30;8250
EA29;<437, 5, 200>;False;-6;35;20;8250
